1497035283/requirements.txt, 0.49699, 2
1497034137/requirements.txt, 0.56798, 2
1497035401/requirements.txt, 0.60543, 2
1497035532/requirements.txt, 6.56093, 3
1497034819/requirements.txt, 3.10431, 4
1497034308/requirements.txt, 2.42408, 4
1497034617/requirements.txt, 0.65092, 2
1497035970/requirements.txt, 1.18904, 2
1497034233/requirements.txt, 0.68541, 3
1497034679/requirements.txt, 0.63614, 2
1497035323/requirements.txt, 0.78334, 3
1497034835/requirements.txt, 1.10027, 5
1497034334/requirements.txt, 0.58771, 2
1497034261/requirements.txt, 0.53359, 2
1497034637/requirements.txt, 0.66625, 3
1497034404/requirements.txt, 0.61024, 2
1497034968/requirements.txt, 0.66042, 2
1497035283/requirements.txt, linear, 0.64146, 2
1497035283/requirements.txt, binary, 0.48271, 2
1497034137/requirements.txt, linear, 0.53704, 2
1497034137/requirements.txt, binary, 0.52183, 2
1497035401/requirements.txt, linear, 1.14446, 2
1497035401/requirements.txt, binary, 0.70902, 2
1497035532/requirements.txt, linear, 203.42665, -1
1497035532/requirements.txt, binary, 1.42213, 3
1497034819/requirements.txt, linear, 5.48560, 3
1497034819/requirements.txt, binary, 1109.69021, 14
1497034308/requirements.txt, linear, 3.64581, 4
1497034308/requirements.txt, binary, 1.57201, 4
1497034617/requirements.txt, linear, 1.15690, 2
1497034617/requirements.txt, binary, 0.76680, 2
1497035970/requirements.txt, linear, 6.43647, 2
1497035970/requirements.txt, binary, 1.46573, 2
1497034233/requirements.txt, linear, 1.90808, 6
1497034233/requirements.txt, binary, 0.80376, 3
1497034679/requirements.txt, linear, 0.85631, 2
1497034679/requirements.txt, binary, 0.61010, 2
1497035323/requirements.txt, linear, 1.24569, 3
1497035323/requirements.txt, binary, 1.02225, 3
1497034835/requirements.txt, linear, 39.82133, 3
1497034835/requirements.txt, binary, 0.85720, 3
1497034334/requirements.txt, linear, 1.15430, 2
1497034334/requirements.txt, binary, 0.76958, 2
1497034261/requirements.txt, linear, 344.73048, -1
1497034261/requirements.txt, binary, 0.57842, 2
1497034637/requirements.txt, linear, 0.77023, 3
1497034637/requirements.txt, binary, 0.84286, 3
1497034404/requirements.txt, linear, 1.03005, 2
1497034404/requirements.txt, binary, 0.51973, 2
1497034968/requirements.txt, linear, 5.73204, 2
1497034968/requirements.txt, binary, 0.78761, 2
1497035082/requirements.txt, linear, 112.49022, -1
1497035082/requirements.txt, binary, 0.71796, 3
1497036270/requirements.txt, linear, 9.40893, 3
1497036270/requirements.txt, binary, 0.58180, 3
1497034153/requirements.txt, linear, 0.46278, 2
1497034153/requirements.txt, binary, 0.45711, 2
1497034699/requirements.txt, linear, 1.39616, -1
1497034699/requirements.txt, binary, 1.80916, 5
1497034244/requirements.txt, linear, 0.78484, 3
1497034244/requirements.txt, binary, 0.61325, 3
1497036849/requirements.txt, linear, 1.87503, 2
1497036849/requirements.txt, binary, 0.57132, 2
1497034360/requirements.txt, linear, 2.12824, 2
1497034360/requirements.txt, binary, 1.21070, 3
1497034341/requirements.txt, linear, 2.10562, 2
1497034341/requirements.txt, binary, 0.63299, 3
1497036756/requirements.txt, linear, 0.73168, 2
1497036756/requirements.txt, binary, 0.62115, 2
1497035528/requirements.txt, linear, 23.40863, 4
1497035528/requirements.txt, binary, 0.59513, 2
1497034259/requirements.txt, linear, 0.70369, 2
1497034259/requirements.txt, binary, 0.50541, 2
1497034634/requirements.txt, linear, 0.57067, 2
1497034634/requirements.txt, binary, 0.50899, 2
1497034163/requirements.txt, linear, 0.56708, 2
1497034163/requirements.txt, binary, 0.54877, 2
1497035602/requirements.txt, linear, 39.47784, -1
1497035602/requirements.txt, binary, 2.58766, 2
1497034924/requirements.txt, linear, 22.19533, 5
1497035283/requirements.txt, linear, 0.71592, <_sre.SRE_Match object; span=(0, 26), match='# MUC of 2 elements found:'>, <_sre.SRE_Match object; span=(0, 19), match='seed: 1537805538073'>
1497035283/requirements.txt, binary, 0.56747, None, <_sre.SRE_Match object; span=(0, 19), match='seed: 1537805538627'>
1497034137/requirements.txt, linear, 0.66898, <_sre.SRE_Match object; span=(0, 26), match='# MUC of 2 elements found:'>, <_sre.SRE_Match object; span=(0, 19), match='seed: 1537805539430'>
1497034137/requirements.txt, binary, 0.57311, None, <_sre.SRE_Match object; span=(0, 19), match='seed: 1537805539872'>
